Afrikaans,af,za
Albanian,sq,al
Arabic,ar,sa
Armenian,hy,am
Azerbaijani,az,az
Basque,eu,eu
Belarusian,be,by
Bulgarian,bg,bg
Catalan,ca,ad
Chinese,zh-CN,cn
Croatian,hr,hr
Czech,cs,cz
Danish,da,dk
Dutch,nl,nl
English,en,gb
Estonian,et,ee
Filipino,tl,ph
Finnish,fi,fi
French,fr,fr
Galician,gl,gc
Georgian,ka,ge
German,de,de
Greek,el,gr
Haitian Creole,ht,ht
Hebrew,iw,il
Hindi,hi,in
Hungarian,hu,hu
Icelandic,is,is
Indonesian,id,id
Irish,ga,ie
Italian,it,it
Japanese,ja,jp
Korean,ko,kr
Latvian,lv,lv
Lithuanian,lt,lt
Macedonian,mk,mk
Malay,ms,my
Maltese,mt,mt
Norwegian,no,no
Persian,fa,ir
Polish,pl,pl
Portuguese,pt,pt
Romanian,ro,ro
Russian,ru,ru
Serbian,sr,rs
Slovak,sk,sk
Slovenian,sl,si
Spanish,es,es
Swahili,sw,tz
Swedish,sv,se
Thai,th,th
Turkish,tr,tr
Ukrainian,uk,ua
Urdu,ur,pk
Vietnamese,vi,vn
Welsh,cy,cy
Yiddish,yi,ba
